Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
PALD1,-1.133834665,-0.640910945,0.39174993,0.282877511,2.893691602,3.553274561
IFIT5,1.460216295,0.373732428,-0.490098322,-0.572499494,-3.189717908,-4.133918216
NFKB2,1.508861385,1.653425326,0.247222818,-0.099026847,-3.159328052,-3.677608678
DUSP5,2.105321957,2.103018287,-0.117972712,-0.222112137,-3.028647008,-2.617647261
CASP7,1.326507079,0.045087236,-0.227408503,-0.358881523,-2.516287208,-2.856482746
TDRD1,-0.982648222,-0.628965608,-0.206231269,0.302063714,3.474889487,4.117381447
ABLIM1,0.114438214,0.877152546,-0.203295338,-0.035662429,2.704320876,4.243312628
ADAM8,0.65219401,1.33954121,0.599722636,0.240416649,-3.471667639,-3.108169496
IFITM2,0.836635785,-0.189710467,-0.276464004,-0.400616741,-2.485678688,-0.403888145
IFITM1,1.202678825,-0.061947207,-0.47097467,-0.697477292,-6.718149514,-4.828423126
IFITM3,1.929368568,-0.142928372,-0.638648661,-0.605249929,-5.075430835,-1.884519205
TRIM21,1.207069691,0.420977041,-0.41721222,-0.341247145,-2.305050607,-2.755150968
TRIM22,0.812635915,0.37493972,-0.571042162,-0.474566921,-3.026108683,-3.008292947
UBE2L6,1.580884915,0.236958166,-1.125067316,-0.870597065,-8.425432359,-6.154142382
NCAM1,-1.131032646,-0.611271521,0.067683208,0.186988904,2.362063942,1.340009148
FXYD6,1.225687882,0.219289734,-0.203284589,-0.508581777,-3.954924303,-2.742087765
IL10RA,0.859615449,1.741765718,0.110971673,-0.195332778,-3.177207871,-3.468584981
LAG3,1.232889038,0.349362112,-0.467997563,-0.363912023,-5.265446631,-2.663527415
CLEC2D,1.114256096,0.177983752,-0.583008172,-0.445196653,-2.866481286,-2.421017827
CLEC7A,0.567572678,-0.924004521,0.106424585,0.073637924,-2.790201903,-2.083553837
PTPRO,-0.037932234,-0.627862337,-0.099945181,-0.333202724,-2.974174395,-1.867906422
IL23A,1.184470344,-0.060827524,0.072848314,-0.287812878,-2.8583325,-4.388402771
STAT2,0.551117948,0.838099112,-0.514412875,-0.448274483,-3.013626414,-3.580012691
PHLDA1,0.21508073,-0.220354313,-0.263221512,-0.033517406,-2.72604699,-3.070961061
DUSP6,-1.011588702,0.481111635,0.273149704,0.084374216,2.836923654,1.129200146
DCN,-0.711047425,0.253211615,0.39627081,0.048654225,3.908422831,1.423128254
TMCC3,1.734806908,2.019017158,-0.68418028,-0.628904192,-6.950432759,-5.501385455
OAS1,1.819186642,0.705419345,-1.161391187,-0.692601666,-7.814197306,-7.5204908
OAS2,1.226030437,0.518500893,-1.155493216,-0.611195321,-8.686706151,-8.281881394
SDS,-0.952367212,-1.383167808,0.082690078,-0.362758802,-3.250094162,-2.045526344
EPSTI1,1.474582545,0.984252855,-1.145132599,-0.802242929,-10.36506651,-8.214439588
GPR183,2.334728912,1.441404756,-0.172171149,-0.355135547,-2.742492583,-2.893065546
TNFSF13B,2.223942233,1.378398427,-0.879298276,-0.630678306,-6.184755994,-5.061019569
NFKBIA,1.969873256,2.165915268,0.099538173,-0.275203412,-2.292898659,-2.109461884
LINC01588,0.572883873,0.162906598,-0.153963015,-0.187869976,-3.104489825,-3.252215316
LGALS3,0.037079472,-0.097007416,0.319242043,-0.203032306,-2.881421015,-3.467332
PAPLN,-1.658890837,-0.367506629,-0.244851473,0.239598527,2.732353678,3.149458466
LGMN,0.56498646,1.050469102,-0.366497568,-0.583651438,-2.773215996,-2.685519496
TNFAIP2,1.186960283,0.64498487,0.240852749,0.429598942,-3.137846922,-2.051636469
BMF,0.264310955,-0.174428994,-0.129143746,-0.013873067,-3.221783308,-2.542756656
EHD4,1.516785429,0.80803172,-0.140452904,-0.346242412,-2.423157615,-3.039100299
SEMA6D,-1.253088822,-0.784598904,-0.274165397,0.507329716,3.091853768,1.598757564
SMAD6,-1.148190739,-1.800527841,0.477511666,0.566829716,3.121320234,4.175992216
CTSH,0.05760229,-0.289401544,0.233009935,0.084084017,-2.360437075,-3.061673538
ISG20,1.931159098,2.450423055,-0.807041988,-0.747432062,-9.07856854,-6.809311772
NLRC3,-1.653990558,-0.621000496,0.150779531,0.233959616,2.819013714,1.865765173
SOCS1,2.204268934,0.776694895,0.650575249,-0.715731557,-5.036477228,-4.210910562
MVP,1.017448014,0.619052058,0.266902455,0.019073866,-2.824253207,-1.285758027
CDH1,0.107887358,-0.999443282,0.052599444,-0.368480255,-3.663584206,-4.991684928
ADAMTS18,-1.285967833,-1.43092213,-0.245675751,0.110745286,3.338612078,4.794916231
C16orf74,-0.815114716,-1.012300788,0.497667878,0.338158123,3.251573218,4.053252208
SPNS3,-1.289983127,0.161854978,0.831077292,0.57946176,3.312407755,0.906300052
XAF1,1.194764765,0.294675044,-0.963776222,-0.452718513,-13.00154985,-12.78379688
LGALS9,0.783304298,0.290855933,-0.122480729,-0.224395897,-2.712817945,-2.328302289
ADAP2,1.389892481,0.274493727,-0.326643463,-0.37344265,-4.403135727,-4.19600702
SLFN5,1.003066303,0.343913357,-0.698468762,-0.415195186,-5.177038183,-5.498933394
ARL5C,-0.967087507,0.262964943,-0.354978643,0.660198362,6.227953099,4.375330479
IGFBP4,1.430503923,1.165435181,-0.043894753,-0.771056551,-3.314851317,-4.46932457
DHX58,1.88561126,2.445857408,-0.680764943,-0.495203762,-6.71725394,-5.114935389
IFI35,1.672010004,0.688881431,-0.442473425,-0.551735724,-4.30568612,-3.547749999
ETV4,-0.673116732,-0.247117991,0.212040779,0.251075898,3.081046018,2.086081706
NGFR,-2.116306938,-0.111617762,1.0124529,0.264700804,4.068869029,3.247314967
TSPOAP1,-1.394405497,-0.121475419,-0.549495159,0.163116974,-3.846715187,-1.263172361
WFDC21P,1.136092326,-1.183408361,-0.671276816,-0.850963307,-5.660830447,-6.198806296
SYNGR2,1.384013172,0.908906265,0.27720035,0.060846995,-2.77873562,-0.910933515
RNF213,0.121420933,0.450362395,-1.181497801,-0.785239494,-3.376240719,-2.928099845
BCL2,-0.632312657,-0.458430513,0.028250391,0.338149629,2.442057382,1.741562908
DIPK1C,-0.476882041,-0.320484615,0.229068675,0.164262233,5.218423747,6.117692843
ADGRE2,-0.337503048,-0.338625788,-0.06094055,0.2172751,3.522337127,1.371780064
HSH2D,0.93051133,0.32612086,-0.443818299,-0.351110031,-5.609798717,-5.42880952
JAK3,0.804998481,0.671906911,-0.05473258,-0.246771867,-2.782781398,-2.363144622
POU2F2,0.125929027,0.726019734,0.019647163,0.547406274,-3.137503039,-3.383522091
BCL3,1.657874049,1.718854923,0.510172938,-0.194528369,-3.690855421,-3.127308131
RELB,1.77483878,2.330045164,0.28450985,-0.019445005,-3.824251831,-3.33307778
TBC1D17,1.141566987,1.427538176,-0.251202652,-0.372747119,-2.786025896,-3.404115783
IL4I1,2.081108703,1.706465449,0.107172788,-0.769793675,-6.80284648,-6.345387908
SIGLEC14,0.699877598,-0.598631343,-0.208259986,-0.314312827,-3.262110798,-0.74007743
SIGLEC1,0.66710244,0.130219905,-0.952777249,-0.157705856,-3.757408134,-1.47598402
CD40,1.304628792,-0.811853413,0.555282561,-0.244472027,-7.816988627,-9.419352171
HELZ2,2.036521612,1.074107891,-0.184997862,-0.183985401,-6.15552316,-5.595107215
MX2,2.029194535,0.527954943,-1.208663526,-0.791248476,-10.34789648,-8.240940286
MX1,1.498561207,0.286340367,-0.705092835,-0.468971506,-9.363008594,-7.807027788
TMEM121B,-1.237758078,1.333668492,0.193594043,0.250422786,2.862320073,1.641609124
USP18,1.405923954,0.558322655,-0.615889182,-0.552261394,-4.211638805,-3.751371752
IGLL1,-0.353977872,0.254852497,0.416483907,0.286104342,3.181819785,2.858561741
HMOX1,0.091969857,-1.191864453,0.190374519,0.363862476,-5.404258181,-1.868605467
MB,-0.060491978,-0.547384286,0.798276665,0.314645632,3.15048508,1.831557673
APOL6,1.521771401,0.612184913,-0.682384512,-0.649597629,-3.895800514,-3.410959647
APOL3,1.817020091,0.347071259,-0.296728352,-0.644760176,-5.08407416,-4.903156025
APOL2,0.840734983,1.116376527,-0.23516334,-0.469389091,-2.344824789,-2.413927506
APOL1,1.308980969,1.025966769,-0.27208822,-0.518490534,-3.719727318,-2.624997665
LGALS2,0.715954276,-0.371530356,0.002478572,0.219429009,-3.643535759,-2.80243422
TYMP,1.362593487,0.649474385,-0.168462733,-0.180951105,-4.319517503,-3.292285609
ODF3B,0.971255464,1.244548992,0.263802604,-0.072414723,-3.751149664,-3.340138681
RAB9A,1.120033801,0.761143551,0.006282886,-0.295439382,-2.360771186,-2.193819927
SAT1,0.465154035,0.265665783,-0.090793339,-0.317756716,-2.708159188,-2.099283009
CLIC2,1.799102897,1.917308025,-0.239684876,-0.427511547,-4.230758596,-2.457634415
ELOA,0.848130933,0.016197943,-0.091075565,-0.041620542,-1.713750398,-2.610758558
MARCKSL1,0.784620704,0.679977979,0.158584603,-0.033170117,-1.629665889,-2.505134713
ZC3H12A,0.638272433,1.234211163,0.130331267,0.126448028,-2.382022184,-2.591016501
TTC39A,0.10347459,0.335556299,-0.112165137,-0.351471054,-1.913657186,-3.399662578
EXTL2,1.148648627,0.500632409,-0.284700526,-0.15330582,-1.554509642,-2.554390531
TTC24,-0.346688125,-0.175326746,-0.098790228,0.210188837,2.315294135,3.564286909
TBX19,-0.006887058,0.758545467,-0.195859668,-0.204060352,-1.534279308,-2.55518016
TNFSF18,2.395274808,2.044781022,0.177966021,0.277790541,-1.540216809,-3.380537923
ADORA1,0.034173093,-1.275557195,0.356658535,0.677450345,0.517093721,2.635169943
RHEX,0.691174904,1.336119781,-0.272595077,0.047674735,-2.052221483,-3.302598066
ZNF692,-0.184602171,-0.2778404,-0.017530598,0.363500433,0.473184244,2.486300183
CYP1B1,1.242987953,1.815044189,0.245109132,0.257397442,-0.607759472,-2.595253964
B3GNT2,1.28602928,0.521707175,-0.342976073,-0.348779625,-1.976921792,-2.398018579
