"","Symbol","xRNA16h","xRNA6h","pUUC16h","pUUC6h","R84816h","R8486h"
"8669","LASP1",-0.190881665126739,-0.283729132377589,-0.355434844392437,-0.314333339010595,-0.686754566809492,-0.6270407643764
"8671","ARL5C",-0.967087506627132,0.262964943455843,-0.58597281242455,-0.385013399075857,6.227953098743,4.37533047894016
"8672","CACNB1",-0.537349570673696,-0.155442645512103,-0.51362254790053,-0.411422498658493,1.44957263566289,2.01972443541148
"8673","RPL19",-0.0111130488627207,-0.0172699853917111,-0.187235223984375,-0.0206809600673267,0.27023641330783,0.280381001676876
"8674","FBXL20",-0.916130710324786,-0.0861957076204905,-0.753626791292323,-0.0831292343692417,0.10192653005918,0.771701736856913
"8675","MED1",0.172264443594697,0.0826565902851112,0.311895647724512,0.143035250539963,0.00375546009285474,-0.219028845164155
"8676","CDK12",0.198504963864973,0.384661851757406,0.420568796251079,0.459596427533375,-0.366964967255446,-0.280922044162597
"8677","STARD3",-0.00191558272275965,0.083230912310555,-0.331244187911216,0.0623916294396432,-0.125194335203614,0.158912673511996
"8678","PGAP3",-0.0388760054712317,0.365118753759078,-0.277079054863903,0.137896421512383,0.194016152974859,0.37988723475011
"8679","ERBB2",-0.770500821168994,0.0251920900348234,-0.495029605520221,-0.0156483286653467,-0.0950511140055389,0.316331366148198
"8680","MIEN1",-0.00749479466159036,-0.0371957261224097,-0.0918096018448506,-0.104222912894927,0.00451897853822185,-0.138430885086445
"8681","IKZF3",0.445955001149335,0.0249426385448006,0.656672575450696,-0.0738907210135822,-0.703437663316348,0.968129801413207
"8682","GSDMB",-1.10761138240178,-0.237489531933987,-0.277734151855153,-0.425901913935092,0.0136672368896876,0.744216099028323
"8683","ORMDL3",0.110985157701964,0.152268349256524,0.0897391660448072,-0.0160146142221559,0.127892001503439,0.654706041224644
"8684","PSMD3",0.54132092337881,0.341189068234307,0.429350360412748,0.269602110142386,-0.240682507343178,-0.466102389260777
"8685","MED24",0.133170253697,0.304602211735323,-0.013360712386395,0.153969182774703,0.11501268736418,0.272709955239373
"8686","THRA",-0.44394632524067,-0.687467640875479,-0.366591165415828,-0.832392637605737,1.28586183372779,2.82761786964047
"8687","NR1D1",-0.557517158917113,-0.467002409191396,-0.782804680778709,-0.627592365701448,0.217360934935915,2.16487956294509
"8688","MSL1",-0.166617049975243,-0.163784665734186,0.0231497890302793,-0.155070185567915,0.25458111649956,0.0250988740297766
"8689","CASC3",0.249240514547315,0.262295739654556,0.325351997430489,0.321605250451968,-0.141083287012516,-0.0938515617328109
"8690","RAPGEFL1",0.322901611303512,0.345755503176625,0.393413912809902,0.255177637300981,-0.080043269633285,-0.827261887679917
"8691","WIPF2",-0.0979434990608702,0.231167007902123,0.00263186878331376,0.196243919034884,-0.0570493950014619,-0.439394625669337
"8692","CDC6",0.0419328045662334,0.279536439641442,0.106432441920593,0.329173043782419,0.0808795632681073,-0.157801625981653
"8693","RARA",0.0620233874340671,-0.0939165153320419,-0.606164017663985,-0.18871273945643,-0.225894679408715,0.00585072006707357
"8694","TOP2A",-0.36019984363067,-0.116911463892915,-0.22673372389169,0.00953478699372943,0.871921843975219,-0.291184149582517
"8695","IGFBP4",1.43050392322474,1.16543518093102,1.49327121590727,1.94953540179244,-3.31485131721589,-4.46932456965192
"8697","CCR7",5.38916928476071,5.58861909797037,6.09139023838968,6.69877743035574,-10.2441925280146,-9.10541693248562
"8698","SMARCE1",-0.221021898919827,0.24267942222573,-0.0819758065433579,0.200749970011542,-0.136862143652395,-0.752197184495239
"8699","KRT10",0.680191436826487,0.141168068068235,0.330085056324017,0.331088036971398,-0.345991369067024,-0.465950839315884
"8700","TMEM99",0.398149823486223,0.170381632248044,0.232145318701339,-0.0519383822183628,-0.0934577474304285,-0.390085445662258
"8701","EIF1",0.166801758663464,0.0393056008252041,0.0932410817282591,0.18077468610434,-0.335857430848553,-0.606943198810175
"8702","NT5C3B",-0.145403319258114,-0.42768117640792,-0.400199126922154,-0.367227653388286,0.469064630202816,0.68471480857903
"8703","KLHL11",-0.199886571664231,-0.189149890620051,-0.126981660763094,-0.292297956497512,0.441558480092704,0.315503672285574
"8704","ACLY",-0.486439634786495,-0.134327788239689,-0.532906215792105,-0.160301215040902,0.0017803958092132,0.233837468462804
"8705","CNP",0.737271222092029,0.493386377353017,0.5717486312454,0.671047428553905,-1.5594826792302,-1.21436245359519
"8706","DNAJC7",0.0405421929421332,-0.199482912984189,0.130487410169196,-0.112498436576333,-0.0855880750694702,-0.276481297412973
"8707","NKIRAS2",0.0422883523678888,-0.122689711614394,-0.0651873146082602,-0.222770039979184,-0.484262743026795,-0.574760825512504
"8708","ZNF385C",-0.732562503040492,-0.0419853140085887,-1.04780545256089,-0.1167566051374,2.54167883179498,1.84073825147502
"8709","DHX58",1.88561126014632,2.4458574076527,2.58462860054718,2.95351065832471,-6.71725394049207,-5.11493538929847
"8710","KAT2A",0.261068466465339,0.0314302487210291,0.295221371376884,-0.0908059240357383,0.00567179798325867,1.40630305712074
"8711","RAB5C",0.52503119553192,0.0484208237876071,0.13033830911727,0.0811118519712217,-0.618938032525103,-0.487458736046492
"8712","GHDC",-0.587836585782805,0.102762808780219,-1.05683013251753,-0.158161727861085,0.474758726379326,1.40042747485572
"8713","STAT5B",-0.480626623433866,-0.0699651403819806,-0.44088361094848,-0.111243997639801,-0.168075310467412,-0.870378900037593
"8714","STAT5A",0.97873191640605,2.94839044469869,0.970116496624836,3.16039251950955,-4.72526678283573,-5.93858879069793
"8715","STAT3",0.422738560235198,0.706860080590552,0.477171082931166,0.994320445620885,-1.50124613449094,-0.78642026354829
"8716","NAGLU",-0.0718245858874839,-0.134220549318746,-0.271647592238693,-0.0615799620447721,-0.766987855999918,0.251773957050914
"8717","COASY",0.383511849577774,0.3273742403182,0.235074342377304,0.262898929781717,-0.475919846142477,-0.462523693292309
"8718","MLX",0.0852110484968472,-0.30831067157888,0.0322585493508779,-0.297814176653936,-0.149927734751849,0.00866555235242386
"8719","PSMC3IP",0.0302754103987451,0.257402843743964,0.0988473701029511,0.245090639235476,-0.427716816970456,-0.714403570934044
"8720","RETREG3",-0.0731851088002273,0.27568658032153,0.0989521660860488,0.378143536897229,-0.611717725050862,-0.177172671723042
"8721","TUBG1",0.463083713988968,-0.058110829380449,0.276742157704226,-0.112168077422283,-0.577852307628628,-0.053951861836202
"8722","TUBG2",-0.335983047925952,-0.117920012714668,-0.0539486628495539,-0.0536710264742875,-0.66761851711027,-0.51693332727822
"8723","PLEKHH3",0.210267364034195,0.10358211667974,-0.141108740022456,-0.449789477172068,-0.777099163810816,-0.208872938932065
"8725","EZH1",-0.323136485198618,-0.0198944588517736,-0.0322860735367031,-0.0928676642190327,-0.411340802708244,0.0494623414936822
"8726","VPS25",0.222102093024224,0.132647849908421,0.18302842559916,0.143269258295599,-0.406920530487325,-0.395978881313493
"8727","COA3",0.301160544802171,0.0999107991546566,0.14369321196075,0.112853365116809,-0.184299539947731,0.118166384781966
"8728","BECN1",0.073825256596781,0.247716334688771,0.187909505263247,0.286440260662115,-0.326591132171198,-0.488030574898235
"8729","PSME3",0.555889093825427,-0.0742849218930679,0.628731445679124,-0.0554083760786345,-0.269715159022573,-0.16187452969269
"8730","AOC2",0.114368129046249,-0.0789761996050412,0.936197848244381,-0.13146097011914,-0.494731337764827,-0.380693844575488
"8731","AOC3",2.03061555195199,0.957411112229527,2.44148461482753,0.306264038672832,-0.62500940806096,-1.95154733414389
"8732","AARSD1",-0.411740336485998,-0.0587990832621115,0.316623280568917,0.0240132103997442,0.308286385584855,0.259606417360403
"8733","PTGES3L",0.0313425841085871,-0.123942086916676,-0.0657959084652386,0.0397353120727349,-0.305948382598089,-0.0797592564144551
"8734","RUNDC1",0.127328902276437,-0.00920820746016503,0.116322210883371,0.010493899487977,-0.470416951059667,-0.220113554958269
"8735","RPL27",0.387692077260651,0.0116366020905404,0.0962835950031941,0.0468218938344411,0.00174041023477872,0.105680865293497
"8736","IFI35",1.67201000419347,0.688881431151719,2.1332075136388,1.25616363363478,-4.30568611957562,-3.54774999935836
"8737","VAT1",-0.628262185575741,-0.296286238575101,-0.803340080343246,-0.35605815991122,0.238497040820198,0.664741596452547
"8738","BRCA1",-0.458940739595041,0.213647050382791,-0.231262875980328,0.217700739713282,0.285330890859225,-0.2379052152887
"8739","NBR2",-0.638856195130331,0.386439337061524,-0.325073926992017,0.395639218869407,-0.460339868727755,-0.573399880364814
"8740","NBR1",-0.361766337240182,0.199220084694511,-0.328173600959938,0.284627716615102,0.0538289620620634,0.118697487284407
"8741","TMEM106A",0.638132457327869,0.846553751641547,1.0725032562242,1.08996878991827,-2.08058708498451,-2.46404168324278
"8742","CCDC200",-0.284008428982364,0.948415796362874,0.745068087613489,1.15660251586588,-1.96903856625804,-2.38757663572627
"8743","LINC00910",-0.427566774348214,-0.244570884526603,-0.349821775505572,0.0414926655426796,-0.0382171319951827,-1.13441639040486
"8744","ARL4D",-0.148754416285349,-0.378881743722786,-0.257666117655627,-0.276002011973046,-0.285017265270644,1.11706055286225
"8745","DHX8",0.129185835109818,-0.0797818273310847,0.261510320764934,0.00919360883148149,-0.231457159117739,-0.50791494085576
"8746","ETV4",-0.673116731899416,-0.247117990564398,-0.866362276810189,-0.480981106090159,3.08104601766217,2.08608170635003
"8747","DUSP3",-0.0620666361098843,-0.59783640463423,-0.166545286800745,-0.728515484190245,0.0604541722813407,0.436810216545886
"8748","NAGS",-0.230255090254035,-0.500831246281913,-0.63721249060011,-0.528412178431877,-0.567328570781583,-1.18228979183186
"8749","TMEM101",-0.121345504375894,0.0189510438318526,-0.284798163208628,0.0859287061230649,-0.431642336844246,-0.203177974645231
"8750","LSM12",0.304201031260338,0.114423801220579,0.192654552608772,0.082344346686968,-0.0180910068539969,0.0910433221708554
"8751","G6PC3",0.0200120167148399,0.34383509254834,-0.240605753827017,0.221743800474164,0.575944656612675,0.99535757778544
"8752","HDAC5",-0.447819251001238,0.0616672462662791,-0.886586292673532,-0.28639389473426,0.114713088280573,1.5121173945814
"8753","HROB",-0.135860591523941,0.99616906333299,-0.137178901394612,0.967915644493968,0.0852096143194029,-0.48306349045081
"8754","ASB16",0.238793492130057,0.302317938961507,0.358788733223888,0.0466580123565857,-0.126091082522738,-0.276165906160976
"8755","ASB16-AS1",-0.468118088899478,0.837638280452076,-0.210943397897991,0.695312849996781,-0.283789220976443,-0.433722243373488
"8756","TMUB2",0.189542866382503,0.373224549464077,0.0888591457327048,0.313682658941674,-0.660818668622682,-0.754504906540117
"8757","ATXN7L3",0.106703777151988,-0.17975887343341,0.000212982698050686,-0.263292824274513,-0.14791494621186,-0.265368717771511
