Symbol,xRNA16h,xRNA6h,pUUC16h,pUUC6h,R84816h,R8486h
MYCL,-0.167266593,-1.395599868,0.171122603,0.026648914,-0.995253999,-0.627449875
MFSD2A,0.600109492,-0.037332072,0.081560738,0.216257761,-0.334133142,-0.489434476
CAP1,-0.146390465,-0.303880163,0.042733161,-0.086068995,-0.153969036,-0.191863086
PPT1,-0.083401379,-0.239048264,0.032812874,-0.028576202,0.231513688,1.022449495
RLF,-0.43015685,-0.246088942,-0.278394036,-0.397378971,0.015029335,-0.318325041
ZMPSTE24,0.760737863,0.039289613,0.09563111,0.019600696,0.182427543,0.158621059
COL9A2,0.021210272,0.484787954,0.216274819,0.321913114,-1.608144354,-0.336133521
SMAP2,0.068268477,0.152264465,0.025256763,-0.055378478,-0.566503636,-0.634179113
ZFP69B,-0.034668869,-0.322412743,0.189251632,0.187517047,0.14494078,0.120662704
ZFP69,-0.124081066,-0.05678574,-0.024364099,0.178755542,0.400355468,1.04201371
EXO5,0.429564575,0.00271388,0.611233715,0.246943675,0.047319168,-0.798612011
ZNF684,-0.022621671,0.258294915,-0.124902679,-0.249246552,0.251244737,-0.391078982
RIMS3,0.440547756,0.148585841,0.0893999,0.344997498,0.323279285,0.774579441
NFYC,0.123955889,0.189270942,0.056389598,-0.054635622,-0.298096141,-0.387050711
CTPS1,0.446501284,-0.276094059,-0.119368609,0.066632802,0.014914463,0.399356793
SLFNL1-AS1,-0.948804632,-0.415505336,-1.402919697,0.083632262,0.019564247,-0.059491929
SCMH1,-0.15656986,-0.298960514,-0.087162008,-0.021519957,0.207006335,0.154578243
HIVEP3,0.365211503,1.000214148,0.33624715,0.292265266,0.50800831,-0.322661351
FOXJ3,0.035284751,0.023734876,-0.090984019,-0.112504218,0.170530987,0.007370898
PPCS,0.119770035,0.305503013,0.104943667,0.05367707,-0.022823496,-0.253589433
